job_title,location,job_type,experience_level,salary,requirements,excel,tableau,power_bi,sql,python
ClinicalData Analyst,"Richardson, TX, United States",Full Time,Entry-level,48000.0,"Computer Science,Data quality,Genetics,Mathematics,SAS,Statistics",no,no,no,no,no
AML/CFT &Data Analyst,"Ebène, Mauritius",Full Time,Entry-level,48000.0,"Agile,Data management,Finance,Security,,",no,no,no,no,no
Application Developer &Data Analyst,"Nonantola, Italy",Full Time,Entry-level,48000.0,"Engineering,Industrial,Oracle,Power BI,R,R&D",no,no,yes,no,no
Data Engineer Full time (Public Sector) USA,"Arlington, VA, United States",Full Time,Mid-level,108000.0,"AWS,Azure,Computer Science,Consulting,Dataflow,Data pipelines",no,no,no,no,no
 Staff Data Scientist - ATG,"Kirkland, Washington, United States",Full Time,Senior-level,184000.0,"Computer Science,Deep Learning,Industrial,Machine Learning,NLP,NumPy",no,no,no,no,no
Vendor Management and Data Quality Lead,"Porto, Portugal",Full Time,Entry-level,39000.0,"Banking,Data quality,Excel,Security,,",no,no,no,no,no
Principal Cloud Data Engineer (Prisma Access),United States,Full Time,Senior-level,140000.0,"Agile,APIs,AWS,Azure,Big Data,Computer Science",no,no,no,no,no
Data Scientist (TE-CRG-GLO-2023-19-GRAP),"Geneva, Switzerland",Full Time,Entry-level,40000.0,"Computer Science,Data analysis,Deep Learning,Keras,Machine Learning,PhD",no,no,no,no,no
Graduate Power BI Developer,"Mumbai, India",Full Time,Entry-level,35000.0,"Data Analyst,Excel,Finance,Market research,Power BI,Privacy",no,no,yes,no,no
SAP Consultant - Product Data Management,"Braga, Portugal",Full Time,Senior-level,62000.0,"Data management,Engineering,R,Spark,,",no,no,no,no,no
PreMaster Programm - Data Analyst and Visualization,"Gerlingen, Germany",Full Time,Entry-level,39000.0,"BigQuery,Data Analyst,LLMs,Pandas,Python,",no,no,no,no,yes
Staff Data Scientist - ATG,"Kirkland, Washington, United States",Full Time,Senior-level,159000.0,"Computer Science,Deep Learning,Industrial,Machine Learning,NLP,NumPy",no,no,no,no,no
Machine Learning Engineer,United States,Full Time,Senior-level,97000.0,"AWS,CUDA,Docker,Git,GitHub,GitLab",no,no,no,no,no
Data Analyst - Sales,"Sydney, New South Wales, Australia",Full Time,Senior-level,92000.0,"BigQuery,Excel,Finance,Python,R,Redshift",no,no,no,no,yes
"Data Scientist | Insights (f/m/d) - GER, UK, NL, PL",Remote job,Full Time,Senior-level,129000.0,"Agile,Data visualization,Economics,Machine Learning,Mathematics,Metabase",no,no,no,no,no
Data Analyst,Tallinn,Full Time,Senior-level,92000.0,"Architecture,Data analysis,Data Analytics,Data quality,Data visualization,E-commerce",no,no,no,no,no
Data Engineer (Evergreen),India,Full Time,Senior-level,115000.0,"Agile,Airflow,Clustering,Computer Science,Data governance,Data Mining",no,no,no,no,no
Data Management Scrum Master,"Málaga, Spain",Full Time,Entry-level,39000.0,"Agile,Azure,Big Data,Blockchain,Databricks,Data management",no,no,no,no,no
Rotational Development Program - Artificial Intelligence and Machine Learning Trainee,"Plymouth, MI, United States",Full Time,Entry-level,44000.0,"Airflow,APIs,Architecture,Azure,Clustering,Computer Science",no,no,no,no,no
Data Engineer Scientist,Remote Worldwide,Full Time,Mid-level,73000.0,"Computer Science,Data Mining,Engineering,Python,SQL,Statistics",no,no,no,yes,yes
Data Scientist (Elasticsearch),"Houston, TX, United States",Full Time,Entry-level,40000.0,"Agile,CI/CD,Computer Vision,Data quality,Data visualization,Deep Learning",no,no,no,no,no
Data Engineer F/H,"Saint-Herblain, France",Full Time,Entry-level,59000.0,"Airflow,Architecture,AWS,Data warehouse,DevOps,ETL",no,no,no,no,no
BI Developer,United States,Full Time,Senior-level,106000.0,"Agile,Architecture,Business Intelligence,Data analysis,Data visualization,ETL",no,no,no,no,no
Data Scientist - Fraud Risk,"Mexico City, Mexico",Full Time,Senior-level,129000.0,"Banking,Blockchain,Crypto,Data pipelines,Engineering,Fraud risk",no,no,no,no,no
QuintoAndar -Data Analyst,"São Paulo, State of São Paulo, Brazil ",Full Time,Senior-level,92000.0,"Clustering,Looker,Python,SQL,Tableau,",no,yes,no,yes,yes
ML Research Engineer,Poland or Eastern ope remote,Full Time,Senior-level,105000.0,"Cybernetics,DataRobot,Engineering,Keras,Machine Learning,Python",no,no,no,no,yes
"Principal Engineer, Data Project Management","Batu Kawan, Malaysia",Full Time,Senior-level,55000.0,"Data Analytics,Engineering,Excel,Industrial,Statistics,",no,no,no,no,no
Data Engineer,"Lehi, Utah, Open to Remote",Full Time,Senior-level,115000.0,"APIs,Big Data,Computer Science,Data analysis,Data pipelines,Data quality",no,no,no,no,no
 Digital Analytics Engineer,Spain,Full Time,Senior-level,110000.0,"A/B testing,Angular,APIs,Computer Science,Engineering,JavaScript",no,no,no,no,no
Software Engineer (Data Pipeline),United States,Full Time,Senior-level,140000.0,"Big Data,CI/CD,Computer Science,Computer Vision,Data pipelines,Data Warehousing",no,no,no,no,no
Data Scientist,"Wroclaw, PL",Full Time,Senior-level,129000.0,"Agile,Airflow,Big Data,BigQuery,Computer Science,Data analysis",no,no,no,no,no
Business Intelligence Analyst,"Buenos Aires, Buenos Aires, Argentina - Remote",Full Time,Senior-level,49000.0,"Business Intelligence,E-commerce,Python,SQL,Tableau,",no,yes,no,yes,yes
Lead Business Intelligence Analyst,United States,Full Time,Senior-level,180000.0,"A/B testing,Business Intelligence,Data visualization,KPIs,Looker,Mathematics",no,no,no,no,no
 Data Engineer,India,Full Time,Senior-level,115000.0,"Agile,Big Data,Business Intelligence,Data Mining,Data visualization,Engineering",no,no,no,no,no
Data Modeler,"Brussels, Germany",Full Time,Senior-level,62000.0,"Architecture,Data governance,Data management,Engineering,KPIs,Privacy",no,no,no,no,no
Data Engineer,Argentina,Full Time,Mid-level,73000.0,"Airflow,Architecture,AWS,Big Data,BigQuery,CI/CD",no,no,no,no,no
"VP, Actuarial Modeling and Data Management","Boston, Massachusetts, United States",Full Time,Senior-level,127000.0,"Data management,Excel,Finance,Mathematics,ML models,Privacy",no,no,no,no,no
HealthcareData Analyst,Remote,Full Time,Mid-level,60000.0,"Business Intelligence,Engineering,Genetics,Git,Pandas,Python",no,no,no,no,yes
Data Scientist,United States,Full Time,Senior-level,129000.0,"Agile,APIs,Architecture,AWS,Big Data,Classification",no,no,no,no,no
Data Analyst,Remote job,Full Time,Senior-level,92000.0,"Agile,Data analysis,Data visualization,Economics,KPIs,Mathematics",no,no,no,no,no
Business Intelligence Expert,"Brussels, Brussels, Belgium - Remote",Full Time,Mid-level,45000.0,"Business Intelligence,Data analysis,Data Analytics,PhD,Privacy,Python",no,no,no,no,yes
Data Engineer,"Gurgaon, India",Full Time,Senior-level,115000.0,"Airflow,Architecture,AWS,Banking,Big Data,BigQuery",no,no,no,no,no
Data Analyst,Remote,Full Time,Senior-level,135000.0,"Blockchain,Computer Science,Data analysis,Data governance,Data management,Data quality",no,no,no,no,no
Principle MLOps Engineer,"Lehi, Utah, United States",Full Time,Senior-level,69000.0,"AWS,Bigtable,Data analysis,DevOps,Distributed Systems,Engineering",no,no,no,no,no
Data Scientist,"Cardiff, London or Remote (UK)",Full Time,Senior-level,129000.0,"A/B testing,Banking,Data Mining,Finance,Looker,Python",no,no,no,no,yes
"Machine Learning Research Engineer, Generative AI",United States,Full Time,Senior-level,176000.0,"AWS,Deep Learning,GCP,Generative modeling,LLMs,Machine Learning",no,no,no,no,no
Data Analyst - Product Innovation,United States,Full Time,Mid-level,65000.0,"APIs,AWS,Computer Science,Data analysis,Data pipelines,Excel",no,no,no,no,no
Lead Data Scientist,"Cardiff, Wales, United Kingdom",Full Time,Mid-level,40000.0,"AWS,Azure,Big Data,Business Intelligence,Computer Science,Data management",no,no,no,no,no
Data Product Owner,Remote job,Full Time,Senior-level,62000.0,"Computer Science,DataOps,Engineering,Market research,Research,Testing",no,no,no,no,no
Bi Analyst Jr - 24170,"Campinas, Brazil",Full Time,Entry-level,48000.0,"Business Intelligence,Computer Science,Data analysis,Data governance,Data quality,Data visualization",no,no,no,no,no
HTML Developer,United Kingdom,Full Time,Mid-level,51000.0,"Agile,Finance,JavaScript,Testing,,",no,no,no,no,no
Business Intelligence Developer,"Oldsmar, FL",Full Time,Senior-level,67000.0,"Agile,APIs,Architecture,Business Intelligence,Computer Science,Data management",no,no,no,no,no
"Data Scientist, Marketing Analytics",United States,Full Time,Senior-level,104000.0,"Big Data,Data governance,Data visualization,Engineering,Finance,Hadoop",no,no,no,no,no
Manager - AML/CFT &Data Analyst,"Ebène, Mauritius",Full Time,Senior-level,92000.0,"Agile,Data management,Data quality,Excel,,",no,no,no,no,no
Data Visualization Analyst,"Chicago, Illinois, United States",Full Time,Senior-level,69000.0,"Agile,Computer Science,Data visualization,Engineering,JavaScript,Mathematics",no,no,no,no,no
Data Engineer (Remote),"Birmingham, Alabama, United States",Full Time,Mid-level,73000.0,"AWS,BigQuery,Business Intelligence,CI/CD,Dagster,Data pipelines",no,no,no,no,no
Customer Data Engineer,India,Full Time,Senior-level,115000.0,"AWS,Azure,Consulting,Data Analytics,Databricks,Data Warehousing",no,no,no,no,no
Data Engineer- Data Platform,United States,Full Time,Senior-level,105000.0,"Architecture,AWS,Big Data,Business Intelligence,Data pipelines,Data quality",no,no,no,no,no
Digital Marketing Lead (ZibraAI),Ukraine,Full Time,Mid-level,51000.0,"Machine Learning,Physics,,,,",no,no,no,no,no
Staff Data Scientist - Marketing,United States,Full Time,Senior-level,166000.0,"Causal inference,Computer Science,Data Mining,Economics,Machine Learning,Mathematics",no,no,no,no,no
Sales Business Intelligence Manager,United Kingdom,Full Time,Senior-level,62000.0,"Banking,Business Intelligence,Consulting,Economics,Engineering,Excel",no,no,no,no,no
Machine Learning Engineer,"Arlington, Virginia, USA",Full Time,Senior-level,131000.0,"Architecture,AWS,Big Data,Classification,Data Mining,Data pipelines",no,no,no,no,no
ETAS Test Lead - Autonomous Driving Solutions,"York, United Kingdom",Full Time,Senior-level,62000.0,"Agile,Autonomous Driving,Docker,Linux,Python,Testing",no,no,no,no,yes
. Data Engineer,United States,Full Time,Senior-level,115000.0,"Agile,Airflow,Architecture,Big Data,Computer Science,Data Analytics",no,no,no,no,no
Specialist Solutions Architect - MLOps,United States,Full Time,Senior-level,69000.0,"Architecture,Big Data,Computer Science,Databricks,Deep Learning,Engineering",no,no,no,no,no
"Data Scientist, Terminal",Canada,Full Time,Senior-level,129000.0,"Causal inference,Economics,Engineering,Finance,Machine Learning,PhD",no,no,no,no,no
React Native Engineer - Mobile (Dubai),"Dubai, Dubai, United Arab Emirates - Remote",Full Time,Mid-level,40000.0,"APIs,Finance,GitHub,JavaScript,Jira,React",no,no,no,no,no
Artificial Intelligence Lead | KPMG Futures,"Sydney, Australia",Full Time,Executive-level,65000.0,"Finance,Research,Testing,,,",no,no,no,no,no
Jr. CRM Data Quality Specialist,United States,Full Time,Entry-level,43000.0,"Data governance,Data quality,Finance,Research,,",no,no,no,no,no
Data Analyst,United States,Full Time,Senior-level,92000.0,"Computer Science,Consulting,Consulting firm,Data analysis,Data quality,Engineering",no,no,no,no,no
Data Management Consultant Banking (f/d/m) Financial Services Data Platform FSDM,"Frankfurt, Hessen, Germany - Remote",Full Time,Mid-level,45000.0,"Banking,Data management,MySQL,SQL,,",no,no,no,yes,no
"Director, Artificial Intelligence (AI)","Toronto, Ontario",Full Time,Executive-level,81000.0,"AWS,Azure,Computer Science,Finance,GANs,GCP",no,no,no,no,no
Intermediate BI Developer,South Africa - Remote,Full Time,Mid-level,35000.0,"Architecture,Azure,Business Intelligence,Computer Science,Databricks,Data governance",no,no,no,no,no
Business Intelligence Analyst,"Heredia, Costa Rica",Full Time,Senior-level,69000.0,"Athena,AWS,Business Intelligence,Computer Science,Data Analytics,Data quality",no,no,no,no,no
Data Analyst,"Atlanta, GA, United States",Full Time,Senior-level,92000.0,"Big Data,Computer Science,Data Analytics,Databricks,E-commerce,Economics",no,no,no,no,no
Staff Machine Learning Engineer,"London, England",Full Time,Senior-level,62000.0,"A/B testing,Airflow,AWS,Cassandra,Computer Science,Computer Vision",no,no,no,no,no
Data Analyst,"Birmingham, Alabama, United States",Full Time,Mid-level,65000.0,"BigQuery,Business Intelligence,Dagster,Databricks,Data Warehousing,ELT",no,no,no,no,no
Data Engineer I,"Englewood Cliffs, NEW JERSEY, United States",Full Time,Senior-level,115000.0,"AWS,Big Data,Computer Science,Data pipelines,DevOps,Engineering",no,no,no,no,no
Cloud Database Analyst,"Heredia, Costa Rica",Full Time,Senior-level,69000.0,"AWS,Big Data,Computer Science,GCP,Snowflake,SQL",no,no,no,yes,no
Machine Learning Engineer,United States,Full Time,Senior-level,140000.0,"Architecture,Big Data,Cassandra,Computer Science,Data Mining,Deep Learning",no,no,no,no,no
Data Analyst,France,Full Time,Mid-level,65000.0,"Classification,Consulting,Data management,Power BI,Python,R",no,no,yes,no,yes
FinancialData Analyst,"Foster City, CA, United States",Full Time,Senior-level,69000.0,"Data Analytics,Data visualization,Excel,Finance,PhD,Power BI",no,no,yes,no,no
Consultant in Data science,"Brussels, Belgium",Full Time,Entry-level,39000.0,"Big Data,Consulting,Consulting firm,Econometrics,Finance,Machine Learning",no,no,no,no,no
Staff Clinical Data Manager # 3073,"Menlo Park, CA",Full Time,Senior-level,69000.0,"Biology,Computer Science,Data management,Data quality,Data visualization,GCP",no,no,no,no,no
Consultant in Data Science,"Antwerp, Belgium",Full Time,Entry-level,39000.0,"Big Data,Consulting,Consulting firm,Econometrics,Finance,Machine Learning",no,no,no,no,no
